species,Scientific name,Common name,Order,Nesting
virwar,Leiothlypis virginiae,Virginia's Warbler,Passeriformes,Ground
warvir,Vireo gilvus,Warbling Vireo,Passeriformes,Tree
wesblu,Sialia mexicana,Western Bluebird,Passeriformes,Cavity
wesfly,Empidonax difficilis,Western Flycatcher,Passeriformes,Tree
wesowl1,Megascops kennicottii,Western Screech-Owl,Strigiformes,Cavity
westan,Piranga ludoviciana,Western Tanager,Passeriformes,Tree
wewpew,Contopus sordidulus,Western Wood-Pewee,Passeriformes,Tree
whbnut,Sitta carolinensis,White-breasted Nuthatch,Passeriformes,Cavity
whhwoo,Dryobates albolarvatus,White-headed Woodpecker,Piciformes,Cavity
wilsap,Sphyrapicus thyroideus,Williamson's Sapsucker,Piciformes,Cavity
wiltur,Meleagris gallopavo,Wild Turkey,Galliformes,Ground
wlswar,Cardellina pusilla,Wilson's Warbler,Passeriformes,Ground
wooscj2,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,Passeriformes,Tree
yebcha,Icteria virens,Yellow-breasted Chat,Passeriformes,Shrub
yelwar,Setophaga petechia,Yellow Warbler,Passeriformes,Shrub
yerwar,Setophaga coronata,Yellow-rumped Warbler,Passeriformes,Tree
